E47G067003,1,1,2,3,4,5,6
E47G076013,1,0,0,0,0,0,0
E47G087001,1,2,3,4,5,5,6
E47G065011,1,1,1,2,3,4,5
E46G063090,1,2,2,3,4,4,5
E46G078084,1,1,1,2,3,3,4
E46G070095,1,2,2,2,3,4,5
E46G085092,1,2,2,3,3,4,5
E47G073009,1,1,2,2,3,4,5
E46G063092,1,2,2,3,4,4,5
E46G090096,1,0,0,0,0,0,0
E46G084092,1,2,2,3,3,4,5
E47G063002,1,2,2,3,4,5,6
E46G077088,1,1,1,2,3,3,4
E47G058004,1,1,1,2,3,3,4
E47G069011,1,1,1,2,3,3,4
E46G079094,1,2,2,3,0,4,5
E47G065013,1,0,0,0,0,0,0
E47G084001,1,2,3,4,5,6,7
E47G070012,1,2,2,3,4,4,5
E46G080089,1,2,2,3,0,4,5
E47G063009,1,2,3,4,5,6,7
E46G070088,1,2,2,2,3,3,4
E46G089095,1,2,2,3,4,4,5
E46G083091,1,2,2,3,3,4,5
E47G062001,1,2,2,3,4,5,6
E47G073011,1,1,1,1,2,2,3
E46G064092,1,2,2,3,4,4,5
E47G056002,1,1,1,2,3,4,5
E46G091091,1,1,1,2,3,3,4
E46G074089,1,2,2,3,4,4,5
E47G061003,1,2,2,3,4,5,6
E47G068009,1,1,2,3,4,5,6
E46G086096,1,2,3,4,5,5,6
E47G089002,1,0,0,0,0,0,0
E46G084096,1,2,3,4,5,6,7
E47G070005,1,1,2,3,4,5,6
E46G080085,1,1,1,2,0,3,4
E46G086086,1,2,2,3,3,3,4
E47G063004,1,2,3,4,5,6,7
E47G085008,1,0,0,0,0,0,0
E46G091095,1,0,0,0,0,0,0
E46G086087,1,2,2,3,3,3,4
E47G085001,1,2,3,4,5,6,7
E46G081088,1,2,2,3,4,4,5
E47G057002,1,1,1,2,3,4,5
E47G057006,1,1,1,1,2,2,3
E46G065092,1,2,2,3,4,4,5
E46G067086,1,1,1,1,2,2,3
E47G081009,1,2,2,2,3,4,5
E46G075089,1,2,2,3,4,4,5
E47G065003,1,1,1,2,3,4,5
E47G060003,1,2,2,3,4,5,6
